pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z,pt3_X,pt3_Y,pt3_Z,pt4_X,pt4_Y,pt4_Z,pt5_X,pt5_Y,pt5_Z,pt6_X,pt6_Y,pt6_Z,pt7_X,pt7_Y,pt7_Z,pt8_X,pt8_Y,pt8_Z,pt9_X,pt9_Y,pt9_Z,pt10_X,pt10_Y,pt10_Z,pt11_X,pt11_Y,pt11_Z,pt12_X,pt12_Y,pt12_Z,pt13_X,pt13_Y,pt13_Z,pt14_X,pt14_Y,pt14_Z,pt15_X,pt15_Y,pt15_Z,pt16_X,pt16_Y,pt16_Z,pt17_X,pt17_Y,pt17_Z,pt18_X,pt18_Y,pt18_Z,pt19_X,pt19_Y,pt19_Z,pt20_X,pt20_Y,pt20_Z,pt21_X,pt21_Y,pt21_Z,pt22_X,pt22_Y,pt22_Z,pt23_X,pt23_Y,pt23_Z,pt24_X,pt24_Y,pt24_Z,pt25_X,pt25_Y,pt25_Z,pt26_X,pt26_Y,pt26_Z,pt27_X,pt27_Y,pt27_Z,pt28_X,pt28_Y,pt28_Z,pt29_X,pt29_Y,pt29_Z,pt30_X,pt30_Y,pt30_Z,pt31_X,pt31_Y,pt31_Z,pt32_X,pt32_Y,pt32_Z,pt33_X,pt33_Y,pt33_Z,pt34_X,pt34_Y,pt34_Z,pt35_X,pt35_Y,pt35_Z,pt36_X,pt36_Y,pt36_Z,pt37_X,pt37_Y,pt37_Z
66.785,13.944,24.359,82.299,12.164,28.599,98.174,7.7893,23.057,66.281,7.0708,19.284,72.622,4.7875,16.065,76.177,-1.9973,10.923,76.649,-4.5833,13.365,76.644,-5.388,15.954,76.779,-4.3045,11.272,77.825,-4.927,11.121,76.909,-5.809,9.326,77.211,-3.6926,9.7589,78.419,-4.3298,9.4391,78.76,-4.5154,7.4673,77.632,-1.9583,9.9221,78.933,-2.0569,9.4417,78.934,-0.70652,8.5983,77.677,-0.71035,12.406,78.779,-0.51295,12.393,79.308,1.1527,12.182,95.086,5.4323,18.854,84.311,4.0922,15.487,85.595,-3.4784,12.058,83.166,-4.7281,13.553,81.542,-5.1563,14.309,79.271,-4.2698,15.82,82.314,-5.2382,12.707,80.377,-5.6718,13.251,79.203,-4.2337,12.403,83.181,-5.2104,10.884,81.988,-5.5168,9.4464,80.634,-4.0751,8.9604,85.119,-4.942,10.999,85.911,-5.4426,9.4022,86.055,-3.42,7.795,87.843,-4.4362,11.939,89.995,-5.1898,12.282
66.785,13.944,24.359,82.299,12.164,28.599,98.174,7.7893,23.057,66.281,7.0708,19.284,72.622,4.7875,16.065,76.177,-1.9973,10.923,76.649,-4.5833,13.365,76.644,-5.388,15.954,76.779,-4.3045,11.272,77.825,-4.927,11.121,76.909,-5.809,9.326,77.211,-3.6926,9.7589,78.419,-4.3298,9.4391,78.76,-4.5154,7.4673,77.632,-1.9583,9.9221,78.933,-2.0569,9.4417,78.934,-0.70652,8.5983,77.677,-0.71035,12.406,78.779,-0.51295,12.393,79.308,1.1527,12.182,95.086,5.4323,18.854,84.311,4.0922,15.487,85.595,-3.4784,12.058,83.166,-4.7281,13.553,81.542,-5.1563,14.309,79.271,-4.2698,15.82,82.314,-5.2382,12.707,80.377,-5.6718,13.251,79.203,-4.2337,12.403,83.181,-5.2104,10.884,81.988,-5.5168,9.4464,80.634,-4.0751,8.9604,85.119,-4.942,10.999,85.911,-5.4426,9.4022,86.055,-3.42,7.795,87.843,-4.4362,11.939,89.995,-5.1898,12.282
66.341,13.899,24.386,81.977,12.19,28.504,97.846,7.8029,23.025,65.84,7.0805,19.323,72.171,4.974,16.058,75.725,-1.856,10.957,76.12,-4.2594,12.815,76.071,-5.222,16.017,76.236,-4.1795,11.193,77.357,-4.7934,11.168,77.152,-5.6615,9.382,76.803,-3.5574,9.7922,77.997,-4.1747,9.6172,79.063,-4.5428,9.0324,77.23,-1.7664,10.244,78.645,-1.8611,10.039,78.52,-0.41938,8.4536,77.295,-0.56362,12.823,78.312,-0.31379,12.443,78.799,1.3641,12.186,94.726,5.4357,18.888,84.078,4.0696,15.299,85.598,-3.4824,12.032,83.274,-4.7007,13.418,81.708,-5.1993,14.35,79.432,-4.3089,15.859,82.505,-5.1086,12.78,80.381,-5.6818,13.212,79.312,-4.1379,12.559,83.181,-5.2104,10.884,81.941,-5.5018,9.4629,80.561,-4.0789,9.1256,85.295,-4.8976,10.83,85.886,-5.3914,9.2421,86.094,-3.392,7.7176,87.905,-4.367,11.858,89.997,-5.1982,12.288
65.864,13.87,24.4,81.612,12.184,28.438,97.455,7.8032,23.088,65.356,7.104,19.348,71.751,5.1556,16.024,75.295,-1.7,11.007,75.447,-4.1894,13.742,75.649,-4.8663,15.975,75.716,-4.0891,11.819,76.816,-4.7024,11.257,76.607,-5.5124,9.5014,76.339,-3.377,9.901,77.527,-4.0564,9.8234,78.617,-4.4207,9.1297,76.817,-1.5406,9.8231,78.242,-1.6568,9.8007,78.103,-0.29089,8.4341,76.928,-0.31718,12.713,77.837,-0.099599,12.438,78.323,1.5658,12.179,94.357,5.4347,18.937,83.834,4.0485,15.064,85.602,-3.4821,11.995,83.165,-4.729,13.495,81.655,-5.238,14.319,79.593,-4.348,15.899,82.41,-5.1629,12.966,80.385,-5.6925,13.179,79.269,-4.1627,12.244,83.147,-5.1529,10.573,81.932,-5.5065,9.4426,80.515,-4.0455,9.108,85.458,-4.758,10.636,85.861,-5.3403,9.0819,86.441,-3.2955,7.295,88.022,-4.5509,11.786,90.001,-5.2047,12.282
65.396,13.835,24.473,81.153,12.16,28.462,97.032,7.8014,23.202,64.883,7.1309,19.368,71.291,5.3654,15.989,74.819,-1.5063,10.937,74.603,-3.791,13.389,74.62,-4.6813,15.476,75.182,-3.9445,11.562,76.285,-4.596,11.516,76.04,-5.4028,9.9241,75.856,-3.1651,9.9143,76.951,-3.9642,9.8487,78.021,-4.2469,8.9785,76.371,-1.3928,10.163,77.821,-1.515,9.9421,77.716,-0.16718,8.3885,76.537,-0.087606,12.583,77.366,0.055566,12.434,77.816,1.8017,12.007,93.989,5.4334,18.992,83.584,4.0274,14.863,85.601,-3.483,11.962,83.255,-4.7371,13.325,81.711,-5.2346,14.285,79.755,-4.3871,15.938,82.438,-5.1867,12.434,80.334,-5.7438,13.213,79.176,-4.1556,12.703,83.14,-5.137,10.533,81.935,-5.5052,9.3937,80.575,-4.0856,9.1143,85.633,-4.7111,10.432,85.917,-5.2256,7.5924,86.538,-3.2772,7.1799,88.098,-4.5421,11.704,90.002,-5.2074,12.28
64.948,13.792,24.516,80.722,12.126,28.502,96.603,7.8098,23.333,64.42,7.1861,19.321,70.825,5.5537,15.988,74.347,-1.3089,10.858,74.195,-3.6324,13.612,73.926,-4.2594,15.349,74.67,-3.7505,11.668,75.66,-4.4296,11.386,75.512,-5.2712,9.8535,75.404,-2.9902,10.059,76.396,-3.8421,9.9395,76.824,-4.3672,9.8767,75.895,-1.1275,9.5181,77.355,-1.3147,9.9154,77.37,-0.09161,8.3787,76.047,0.0984,12.527,76.876,0.25565,12.377,77.348,1.9901,11.858,93.628,5.4269,19.132,83.372,3.968,14.704,85.593,-3.4863,11.937,83.124,-4.8556,13.458,81.625,-5.207,14.302,79.916,-4.4262,15.978,82.467,-5.2009,12.429,80.289,-5.7539,13.167,79.686,-3.7911,11.746,83.127,-5.1132,10.4,81.936,-5.4981,9.3155,80.642,-4.0803,8.724,85.664,-4.6856,10.377,85.894,-5.2076,7.232,86.871,-3.3322,7.713,88.083,-4.5342,11.708,90.001,-5.208,12.282
64.47,13.747,24.532,80.28,12.103,28.492,96.194,7.8276,23.429,63.954,7.2082,19.367,70.369,5.7819,15.927,73.847,-1.087,10.728,73.553,-3.2686,13.443,73.202,-3.8689,15.128,74.155,-3.489,11.209,75.151,-4.1926,11.138,74.956,-5.1543,10.125,74.913,-2.859,10.166,75.92,-3.6583,9.7618,76.365,-4.2523,9.7577,75.366,-1.0258,10.033,76.886,-1.1634,10.158,76.967,-0.02822,8.6135,75.556,0.29222,12.445,76.411,0.45913,12.273,76.898,2.1679,11.713,93.274,5.4267,19.264,83.128,3.9451,14.465,85.581,-3.4877,11.883,83.123,-4.8571,13.422,81.668,-5.1312,14.208,80.077,-4.4653,16.017,82.478,-5.2015,12.428,80.47,-5.5542,12.907,79.662,-3.9596,11.833,83.134,-5.1267,10.494,81.941,-5.496,9.2784,80.711,-4.0683,8.8023,85.666,-4.6872,10.36,85.879,-5.2288,7.1781,86.922,-3.3558,7.9294,88.069,-4.5367,11.716,90.002,-5.2081,12.282
64.034,13.702,24.572,79.862,12.08,28.493,95.778,7.8196,23.535,63.47,7.2434,19.416,69.879,6.0118,15.91,73.319,-0.85691,10.662,73.207,-3.1424,13.722,72.499,-3.9153,15.239,73.567,-3.3055,10.99,74.583,-4.0026,10.967,74.407,-5.0338,10.308,74.624,-2.7989,10.504,75.398,-3.5247,9.6337,75.705,-4.1805,9.8757,74.869,-0.75413,9.815,76.405,-1.0028,10.202,76.463,0.21389,8.1665,75.03,0.48,12.384,75.937,0.67315,12.14,76.449,2.3345,11.584,92.929,5.4389,19.293,82.886,3.9149,14.204,85.568,-3.4918,11.857,83.123,-4.8575,13.379,81.619,-5.2431,14.493,80.573,-4.69,16.241,82.466,-5.2062,12.436,80.527,-5.5891,12.851,79.541,-4.0131,11.897,83.162,-5.1876,10.45,81.948,-5.4984,9.227,80.725,-4.0601,8.6298,85.721,-4.787,10.941,86.176,-5.2194,7.3197,86.941,-3.3531,7.926,88.066,-4.5384,11.713,90,-5.2107,12.281
63.556,13.658,24.661,79.458,12.055,28.431,95.399,7.8204,23.592,62.993,7.3071,19.398,69.391,6.2341,15.89,72.776,-0.63001,10.535,72.416,-2.6876,13.279,72.094,-3.5547,15.316,73.249,-3.1968,11.679,73.984,-3.8177,11.061,73.859,-4.9132,10.492,74.056,-2.6521,10.464,74.871,-3.3878,9.6042,75.183,-4.1139,9.7028,74.323,-0.59706,9.7652,75.922,-0.77108,9.8965,75.964,0.39236,8.3061,74.33,0.61761,12.443,75.45,0.88343,12.028,75.97,2.5622,11.477,92.575,5.4452,19.324,82.694,3.8674,14.087,85.556,-3.4925,11.834,83.117,-4.8492,13.307,81.632,-5.2299,14.525,80.557,-4.6078,15.956,82.463,-5.2064,12.423,80.494,-5.6006,12.867,79.568,-4.0553,11.831,83.142,-5.1413,10.588,81.949,-5.4945,9.1243,80.732,-4.0672,8.6184,85.696,-4.8279,11.059,86.348,-5.4483,7.6029,86.956,-3.3445,7.8462,88.066,-4.5373,11.704,90,-5.2126,12.278
63.091,13.604,24.73,79.046,12.007,28.442,95.037,7.828,23.629,62.533,7.3524,19.386,68.911,6.4898,15.82,72.211,-0.37541,10.344,71.799,-2.6322,13.441,71.29,-3.2615,14.791,72.577,-2.966,11.26,73.361,-3.6189,11.078,72.923,-5.2477,10.415,73.465,-2.4254,10.409,74.311,-3.198,9.5398,74.577,-3.941,9.679,73.802,-0.3434,9.7063,75.428,-0.61058,9.9658,75.432,0.63989,7.9408,73.725,0.85442,12.368,74.942,1.0824,11.839,75.482,2.7831,11.432,92.269,5.4774,19.299,82.494,3.8209,13.877,85.543,-3.4942,11.807,82.886,-4.8791,13.504,81.646,-5.2046,14.494,80.581,-4.6028,15.842,82.328,-5.278,12.56,80.583,-5.5993,12.79,79.546,-4.0775,11.686,83.136,-5.1383,10.619,81.953,-5.5047,9.0733,80.912,-4.1445,8.3675,85.706,-4.8631,11.077,86.349,-5.4496,7.5986,86.971,-3.3346,7.7289,88.067,-4.5336,11.694,89.998,-5.2162,12.27
